Sample,IID,FID,Sex,Wave,PE_total,filtered_gwas
HMDP038,669,AXB4/PgnJ,M,1,28554026,yes
HMDP039,1775,AXB5/PgnJ,F,1,24960685,yes
HMDP040,1776,AXB5/PgnJ,F,1,8903670,yes
HMDP041,1736,AXB5/PgnJ,M,1,17381906,yes
HMDP042,1737,AXB5/PgnJ,M,1,27478006,yes
HMDP043,370,AXB6/PgnJ,M,1,11504095,yes
HMDP044,371,AXB6/PgnJ,M,1,28909542,yes
HMDP045,1785,BALB/cByJ,F,1,15713310,yes
HMDP046,1791,BALB/cByJ,F,1,14834636,yes
HMDP047,1722,BALB/cByJ,M,1,19173434,yes
HMDP048,1723,BALB/cByJ,M,1,23809640,yes
HMDP049,1490,BALB/cJ,M,1,27905328,yes
HMDP050,1491,BALB/cJ,M,1,12159840,yes
HMDP051,1528,BTBR_T<+>_tf/J,F,1,18916745,yes
HMDP052,1529,BTBR_T<+>_tf/J,F,1,24138451,yes
HMDP053,1545,BTBR_T<+>_tf/J,M,1,21668113,yes
HMDP054,1546,BTBR_T<+>_tf/J,M,1,19303416,yes
HMDP055,1713,BUB/BnJ,F,1,12581595,yes
HMDP056,1714,BUB/BnJ,F,1,9060671,yes
HMDP057,1478,BXA11/PgnJ,F,1,8622675,yes
HMDP058,1479,BXA11/PgnJ,F,1,28732952,yes
HMDP059,1444,BXA11/PgnJ,M,1,32844109,yes
HMDP060,1445,BXA11/PgnJ,M,1,20770806,yes
HMDP061,109,BXA14/PgnJ,F,1,6983848,yes
HMDP062,874,BXA14/PgnJ,F,1,10394309,yes
HMDP063,722,BXA14/PgnJ,M,1,34973548,yes
HMDP064,875,BXA14/PgnJ,M,1,12731466,yes
HMDP065,636,BXA16/PgnJ,F,1,12125439,yes
HMDP066,638,BXA16/PgnJ,F,1,23964452,yes
HMDP067,632,BXA16/PgnJ,M,1,26132383,yes
HMDP068,633,BXA16/PgnJ,M,1,29408286,yes
HMDP069,1695,BXA2/PgnJ,F,1,12105848,yes
HMDP070,1696,BXA2/PgnJ,F,1,13603140,yes
HMDP071,1623,BXA2/PgnJ,M,1,20286355,yes
HMDP072,1624,BXA2/PgnJ,M,1,28853005,yes
HMDP073,1275,BXA24/PgnJ,F,1,19811993,yes
HMDP074,1276,BXA24/PgnJ,M,1,28585148,yes
HMDP075,1277,BXA24/PgnJ,M,1,30609059,yes
HMDP076,544,BXA4/PgnJ,M,1,19051755,yes
HMDP077,545,BXA4/PgnJ,M,1,21757960,yes
HMDP078,257,BXA7/PgnJ,M,1,23781903,yes
HMDP079,283,BXA7/PgnJ,M,1,16195487,yes
HMDP080,1484,BXA8/PgnJ,F,1,25437895,yes
HMDP081,1485,BXA8/PgnJ,F,1,26025605,yes
HMDP082,1430,BXA8/PgnJ,M,1,29760900,yes
HMDP083,1431,BXA8/PgnJ,M,1,19611438,yes
HMDP084,332,BXD1/TyJ,F,1,24471814,yes
HMDP085,342,BXD1/TyJ,F,1,15614757,yes
HMDP086,321,BXD13/TyJ,F,1,19368868,yes
HMDP087,322,BXD13/TyJ,F,1,20840027,yes
HMDP088,323,BXD13/TyJ,M,1,28657090,yes
HMDP089,324,BXD13/TyJ,M,1,24584674,yes
HMDP090,817,BXD14/TyJ,F,1,24263940,yes
HMDP091,818,BXD14/TyJ,F,1,9062961,yes
HMDP092,549,BXD14/TyJ,M,1,13888314,yes
HMDP093,815,BXD14/TyJ,M,1,24714539,yes
HMDP094,730,BXD18/TyJ,F,1,21878179,yes
HMDP095,732,BXD18/TyJ,F,1,24211924,yes
HMDP096,588,BXD19/TyJ,F,1,8726583,yes
HMDP097,589,BXD19/TyJ,F,1,34902516,yes
HMDP098,624,BXD19/TyJ,M,1,24555798,yes
HMDP099,625,BXD19/TyJ,M,1,22417648,yes
HMDP100,478,BXD20/TyJ,F,1,17714463,yes
HMDP101,476,BXD20/TyJ,M,1,14395264,yes
HMDP102,477,BXD20/TyJ,M,1,17337527,yes
HMDP103,853,BXD21/TyJ,F,1,24976664,yes
HMDP104,858,BXD21/TyJ,F,1,37105024,yes
HMDP105,783,BXD21/TyJ,M,1,51862364,yes
HMDP106,855,BXD21/TyJ,M,1,32249196,yes
HMDP107,789,BXD24/TyJ-Cep290<rd16>/J,M,1,21005156,yes
HMDP108,794,BXD24/TyJ-Cep290<rd16>/J,M,1,29685361,yes
HMDP109,117,BXD27/TyJ,F,1,18181358,yes
HMDP110,246,BXD27/TyJ,F,1,15018413,yes
HMDP111,120,BXD27/TyJ,M,1,33947294,yes
HMDP112,294,BXD27/TyJ,M,1,24816529,yes
HMDP113,796,BXD31/TyJ,M,1,34778767,yes
HMDP114,797,BXD31/TyJ,M,1,6967828,yes
HMDP115,592,BXD32/TyJ,F,1,18952749,yes
HMDP116,738,BXD32/TyJ,F,1,24269568,yes
HMDP117,613,BXD36/TyJ,F,1,13562055,yes
HMDP118,614,BXD36/TyJ,F,1,10550384,yes
HMDP119,327,BXD36/TyJ,M,1,22113117,yes
HMDP120,612,BXD36/TyJ,M,1,27044549,yes
HMDP121,413,BXD40/TyJ,F,1,23316382,yes
HMDP122,77,BXD40/TyJ,F,1,29081061,yes
HMDP123,195,BXD40/TyJ,M,1,17428007,yes
HMDP124,81,BXD40/TyJ,M,1,17198224,yes
HMDP125,891,BXD43/RwwJ,F,1,18121354,yes
HMDP126,892,BXD43/RwwJ,F,1,19377713,yes
HMDP127,1008,BXD43/RwwJ,M,1,29212187,yes
HMDP128,1074,BXD43/RwwJ,M,1,16405499,yes
HMDP129,1751,BXD44/RwwJ,F,1,34903344,yes
HMDP130,1752,BXD44/RwwJ,F,1,30635689,yes
HMDP131,1756,BXD44/RwwJ,M,1,27163043,yes
HMDP132,1757,BXD44/RwwJ,M,1,37324770,yes
HMDP133,1448,BXD48/RwwJ,F,1,28379061,yes
HMDP134,1449,BXD48/RwwJ,F,1,14986221,yes
HMDP135,1535,BXD48/RwwJ,M,1,22099439,yes
HMDP136,1536,BXD48/RwwJ,M,1,28441228,yes
HMDP137,871,BXD5/TyJ,M,1,16566382,yes
HMDP138,469,BXD5/TyJ,M,1,19978656,yes
HMDP139,1526,BXD50/RwwJ,F,1,32660752,yes
