IID,FID,Sex
1420,AXB19a/PgnJ,F
1421,BXD55/RwwJ,F
1422,BXD55/RwwJ,F
1423,BXD55/RwwJ,F
1424,BXD55/RwwJ,M
1425,PL/J,M
1426,AXB13/PgnJ,F
1427,PL/J,F
1428,BXD48/RwwJ,M
1429,BXA8/PgnJ,M
1430,BXA8/PgnJ,M
1431,BXA8/PgnJ,M
1432,AKR/J,F
1433,AKR/J,F
1434,AKR/J,F
1435,AKR/J,F
1436,BXD48/RwwJ,F
1437,BXD48/RwwJ,F
1438,BXD48/RwwJ,F
1439,BXA11/PgnJ,F
1440,BXD70/RwwJ,F
1441,BXD70/RwwJ,F
1442,BXD70/RwwJ,F
1443,BXA11/PgnJ,M
1444,BXA11/PgnJ,M
1445,BXA11/PgnJ,M
1446,BXD70/RwwJ,M
1447,BXD48/RwwJ,F
1448,BXD48/RwwJ,F
1449,BXD48/RwwJ,F
1450,BXD48/RwwJ,F
1451,BXD70/RwwJ,F
1452,BXD70/RwwJ,F
1453,BXD48/RwwJ,M
1454,BXD48/RwwJ,M
1455,BXD48/RwwJ,M
1456,BXD70/RwwJ,M
1457,BXD70/RwwJ,M
1458,BXD70/RwwJ,M
1459,BXD48/RwwJ,F
1460,BXD48/RwwJ,F
1461,AXB12/PgnJ,F
1462,SWR/J,F
1463,SWR/J,F
1464,SWR/J,F
1466,AXB12/PgnJ,M
1467,AXB12/PgnJ,M
1469,AXB13/PgnJ,F
1470,AXB13/PgnJ,F
1471,AKR/J,F
1472,AKR/J,F
1473,BXD55/RwwJ,M
1474,BXD55/RwwJ,M
1475,BXD55/RwwJ,M
1476,BXD55/RwwJ,M
1477,BXA11/PgnJ,F
1478,BXA11/PgnJ,F
1479,BXA11/PgnJ,F
1480,BXA8/PgnJ,M
1481,129X1/SvJ,M
1482,129X1/SvJ,M
1483,BXA8/PgnJ,F
1484,BXA8/PgnJ,F
1485,BXA8/PgnJ,F
1486,BXA8/PgnJ,F
1487,BXA8/PgnJ,F
1488,129X1/SvJ,F
1489,A/J,M
1490,BALB/cJ,M
1491,BALB/cJ,M
1492,BUB/BnJ,F
1493,BUB/BnJ,F
1494,A/J,F
1495,BALB/cJ,F
1496,BXD70/RwwJ,F
1497,BXD70/RwwJ,F
1498,BXD70/RwwJ,F
1499,BUB/BnJ,F
1500,BUB/BnJ,F
1501,BUB/BnJ,F
1502,BUB/BnJ,F
1503,BUB/BnJ,M
1504,BXD70/RwwJ,M
1505,AXB12/PgnJ,F
1506,AXB12/PgnJ,F
1507,AXB12/PgnJ,F
1508,AXB12/PgnJ,F
1509,A/J,F
1510,CXB3/ByJ,F
1512,A/J,M
1513,A/J,M
1514,CXB3/ByJ,M
1515,CXB3/ByJ,M
1516,CXB3/ByJ,M
1517,CXB3/ByJ,M
1518,CXB3/ByJ,M
1519,BXD48/RwwJ,F
1520,BXD48/RwwJ,F
1521,BXD48/RwwJ,F
1522,BXD48/RwwJ,F
1523,CXB3/ByJ,F
1524,CXB3/ByJ,F
1525,BXD50/RwwJ,F
1526,BXD50/RwwJ,F
1527,BTBR T<+> tf/J,F
1528,BTBR T<+> tf/J,F
1529,BTBR T<+> tf/J,F
1530,BTBR T<+> tf/J,F
1531,BTBR T<+> tf/J,F
1532,BTBR T<+> tf/J,F
1533,BTBR T<+> tf/J,F
1534,BXA11/PgnJ,F
1535,BXD48/RwwJ,M
1536,BXD48/RwwJ,M
1537,BXD48/RwwJ,M
1538,BXD48/RwwJ,M
1539,CXB3/ByJ,M
1540,CXB3/ByJ,M
1541,CXB3/ByJ,M
1542,CXB3/ByJ,M
1543,CXB3/ByJ,M
1544,CXB3/ByJ,M
1545,BTBR T<+> tf/J,M
1546,BTBR T<+> tf/J,M
1547,BTBR T<+> tf/J,M
1548,BXA11/PgnJ,M
1549,BXD48/RwwJ,F
1550,BXD48/RwwJ,F
1551,BXD48/RwwJ,F
1552,BXD48/RwwJ,F
1553,BUB/BnJ,F
1554,BXD50/RwwJ,F
1555,BXD50/RwwJ,F
1556,BXD50/RwwJ,M
1557,BUB/BnJ,M
1558,BUB/BnJ,M
1559,A/J,F
1560,A/J,F
1561,A/J,F
1562,BALB/cJ,F
1563,BALB/cJ,F
1564,BALB/cJ,F
1565,BALB/cJ,F
1566,BXD61/RwwJ,M
1567,BXD61/RwwJ,M
1568,BXD61/RwwJ,M
1569,BALB/cJ,M
1570,BXA2/PgnJ,F
1571,BXA2/PgnJ,F
1572,BXA8/PgnJ,F
1573,BXD75/RwwJ,F
1574,BXD50/RwwJ,F
1575,BXD50/RwwJ,F
1576,BXD48/RwwJ,F
1577,BXA2/PgnJ,M
1578,BXA2/PgnJ,M
1579,BXA2/PgnJ,M
1580,BXA2/PgnJ,M
1581,BXD75/RwwJ,M
1583,BXD50/RwwJ,M
1584,BXD70/RwwJ,M
1585,BXA11/PgnJ,M
1587,BXA11/PgnJ,M
1588,A/J,M
1589,A/J,M
1590,A/J,M
1591,BUB/BnJ,M
1592,BUB/BnJ,M
1593,BUB/BnJ,M
1594,AXB5/PgnJ,M
1595,AXB5/PgnJ,M
1596,AXB5/PgnJ,M
1597,AXB5/PgnJ,M
1598,AXB13/PgnJ,F
1599,AXB13/PgnJ,F
1600,AXB13/PgnJ,F
1601,BXD61/RwwJ,F
1602,BXD61/RwwJ,F
1603,BXD61/RwwJ,F
1604,AXB5/PgnJ,F
1605,BALB/cJ,F
1606,BALB/cJ,F
1607,BALB/cJ,F
1608,BUB/BnJ,F
1609,BUB/BnJ,F
1610,BXA11/PgnJ,F
1611,BXA2/PgnJ,F
1612,BXA2/PgnJ,F
1613,BXA2/PgnJ,F
1614,BXA2/PgnJ,F
1615,BXA8/PgnJ,M
1616,BXA8/PgnJ,M
1617,BXA8/PgnJ,M
1618,BALB/cJ,M
1619,BALB/cJ,M
1620,BXD44/RwwJ,M
1621,BXD44/RwwJ,M
1622,AXB13/PgnJ,M
1623,BXA2/PgnJ,M
1624,BXA2/PgnJ,M
1625,BXA2/PgnJ,M
1626,129X1/SvJ,F
1627,129X1/SvJ,F
1628,129X1/SvJ,F
1629,129X1/SvJ,F
1630,BXD44/RwwJ,F
1631,BXD44/RwwJ,F
1632,BXD44/RwwJ,F
1633,BXD75/RwwJ,F
1634,NZW/LacJ,M
1635,NZW/LacJ,M
1636,NZW/LacJ,M
1637,A/J,M
1638,A/J,M
1639,A/J,M
1640,A/J,M
1641,BXD75/RwwJ,M
1642,BXD75/RwwJ,M
1643,BXD75/RwwJ,M
1644,NZW/LacJ,F
1645,NZW/LacJ,F
1646,NZW/LacJ,F
1647,NZW/LacJ,F
1648,AXB12/PgnJ,F
1649,AXB12/PgnJ,F
1650,AXB12/PgnJ,F
1651,NZW/LacJ,M
1652,BXD61/RwwJ,M
1653,AXB12/PgnJ,M
1654,AXB5/PgnJ,M
1655,AXB5/PgnJ,M
1656,BXD50/RwwJ,M
1657,BXD50/RwwJ,M
1658,PL/J,F
1659,PL/J,F
1660,AXB13/PgnJ,F
1661,NZW/LacJ,M
1662,NZW/LacJ,M
1663,PL/J,M
1664,AXB13/PgnJ,M
1665,BXA8/PgnJ,M
1666,BXA8/PgnJ,M
1667,BXD61/RwwJ,M
1668,BXD61/RwwJ,M
1669,BXD75/RwwJ,M
1670,BXD75/RwwJ,M
1671,BXD75/RwwJ,M
1672,BXD75/RwwJ,M
1673,BXD75/RwwJ,M
1674,BXD75/RwwJ,M
1675,BXD75/RwwJ,M
1676,BALB/cJ,M
1677,BUB/BnJ,F
1678,BUB/BnJ,F
1679,AXB5/PgnJ,F
1680,AXB13/PgnJ,F
1681,BXD75/RwwJ,F
1682,BXD75/RwwJ,F
1683,BALB/cJ,F
1684,BXD50/RwwJ,M
1685,C57L/J,M
1686,C57L/J,M
1687,AXB13/PgnJ,M
1688,BUB/BnJ,M
1689,BUB/BnJ,M
1690,BXA2/PgnJ,M
1691,BXA2/PgnJ,M
1692,BXA2/PgnJ,M
1693,BXA2/PgnJ,M
1694,BXA2/PgnJ,F
1695,BXA2/PgnJ,F
1696,BXA2/PgnJ,F
1697,BALB/cJ,F
1698,PL/J,M
1699,PL/J,M
1700,BXD50/RwwJ,M
1701,BALB/cJ,M
1702,BALB/cJ,M
1703,BALB/cJ,M
1704,BALB/cJ,M
1705,C57L/J,F
1706,C57L/J,F
1707,PL/J,F
1708,C57L/J,F
1709,C57L/J,F
1710,C57L/J,F
1711,BALB/cByJ,F
1712,BALB/cByJ,F
1713,BUB/BnJ,F
1714,BUB/BnJ,F
1715,PL/J,M
1716,PL/J,M
1717,PL/J,M
1718,PL/J,M
1719,C57L/J,M
1720,C57L/J,M
1721,C57L/J,M
1722,BALB/cByJ,M
1723,BALB/cByJ,M
1724,BUB/BnJ,M
1725,NZW/LacJ,F
1726,NZW/LacJ,F
1727,AXB5/PgnJ,F
1728,AXB5/PgnJ,F
1729,AXB5/PgnJ,F
1730,AXB5/PgnJ,F
1731,AXB5/PgnJ,F
1732,AXB5/PgnJ,F
1733,NZW/LacJ,M
1734,NZW/LacJ,M
1735,NZW/LacJ,M
1736,AXB5/PgnJ,M
1737,AXB5/PgnJ,M
1738,BXA11/PgnJ,F
1739,AXB5/PgnJ,F
1740,BALB/cJ,F
1741,BALB/cJ,F
1742,BXA11/PgnJ,M
1743,BALB/cJ,M
1744,BALB/cJ,M
1745,BALB/cJ,M
1746,129X1/SvJ,F
1747,129X1/SvJ,F
1748,129X1/SvJ,F
1749,NOD/ShiLtJ,F
1750,BXD44/RwwJ,F
1751,BXD44/RwwJ,F
1752,BXD44/RwwJ,F
1753,129X1/SvJ,M
1754,BXD61/RwwJ,M
1755,BXD61/RwwJ,M
1756,BXD44/RwwJ,M
1757,BXD44/RwwJ,M
1758,BXD44/RwwJ,M
1759,BXD44/RwwJ,M
1760,BXD44/RwwJ,M
1761,BXD44/RwwJ,M
1762,BXD44/RwwJ,M
1763,BXD44/RwwJ,M
1764,BXD44/RwwJ,F
1765,BXD44/RwwJ,F
1766,NZW/LacJ,F
1767,NZW/LacJ,F
1768,BXD44/RwwJ,M
1769,BXD50/RwwJ,M
1770,BXD50/RwwJ,F
1771,BXD50/RwwJ,F
1772,BXD50/RwwJ,F
1773,BXD61/RwwJ,F
1774,BXD61/RwwJ,F
1775,AXB5/PgnJ,F
1776,AXB5/PgnJ,F
1777,BXD61/RwwJ,M
1778,BXD61/RwwJ,M
1779,BXD50/RwwJ,M
1780,BXD50/RwwJ,M
1781,C57L/J,M
1782,C57L/J,M
1783,NZW/LacJ,F
1784,NZW/LacJ,F
1785,BALB/cByJ,F
1786,NZW/LacJ,M
1787,BALB/cByJ,M
1788,BALB/cByJ,M
1789,NZW/LacJ,F
1790,129X1/SvJ,F
1791,BALB/cByJ,F
1792,PL/J,F
1793,NZW/LacJ,M
1794,129X1/SvJ,M
1795,AXB5/PgnJ,M
1796,AXB5/PgnJ,M
1797,BALB/cByJ,M
1798,BALB/cByJ,M
1799,BALB/cByJ,M
1800,BALB/cByJ,M
1801,BALB/cByJ,M
1802,BALB/cByJ,M
1803,BALB/cByJ,M
1804,C57L/J,F
1805,C57L/J,F
1806,NZW/LacJ,F
1807,BXD32/TyJ,F
1808,BXD32/TyJ,F
1809,BXD32/TyJ,F
1810,BALB/cByJ,M
1811,PL/J,M
1812,BXD32/TyJ,M
1813,BXD32/TyJ,M
1814,AXB19/PgnJ,F
1815,AXB19/PgnJ,F
1816,AXB19/PgnJ,F
1817,NOD/ShiLtJ,F
1818,NOD/ShiLtJ,F
1819,C57L/J,M
1820,PL/J,M
1821,PL/J,M
1822,NOD/ShiLtJ,M
1823,C57L/J,M
1824,AXB19/PgnJ,M
1825,AXB19/PgnJ,M
1826,AXB19/PgnJ,M
1827,PL/J,F
1828,PL/J,F
1829,PL/J,F
1830,BTBR T<+> tf/J,F
1831,NZB/BlNJ,F
1832,NZB/BlNJ,F
1833,NZB/BlNJ,F
1834,NZB/BlNJ,F
1835,NZB/BlNJ,M
1836,NZB/BlNJ,M
1837,NZB/BlNJ,M
1838,NZB/BlNJ,M
1839,BTBR T<+> tf/J,M
1841,BTBR T<+> tf/J,M
1842,BTBR T<+> tf/J,M
1843,CXB1/ByJ,F
1844,CXB1/ByJ,F
1845,CXB1/ByJ,F
1846,CXB1/ByJ,F
1847,CXB1/ByJ,M
1848,CXB1/ByJ,M
1849,CXB1/ByJ,M
1850,CXB1/ByJ,F
1851,CXB1/ByJ,F
1852,CXB1/ByJ,F
1853,CXB1/ByJ,F
1854,CXB1/ByJ,M
1855,CXB1/ByJ,M
1856,CXB1/ByJ,M
1857,BXD2/TyJ,M
1858,BXD2/TyJ,M
1859,NOD/ShiLtJ,F
1860,BXD2/TyJ,F
1861,NOD/ShiLtJ,M
1862,BXD2/TyJ,M
1863,BXD2/TyJ,M
1864,NZB/BlNJ,F
1865,NZB/BlNJ,F
