IID,FID,Sex
364,BXA2/PgnJ,M
367,BXA2/PgnJ,M
370,AXB6/PgnJ,M
371,AXB6/PgnJ,M
372,AXB6/PgnJ,M
381,BXA2/PgnJ,M
384,CXB7/ByJ,F
385,CXB7/ByJ,F
386,CXB7/ByJ,F
387,CXB7/ByJ,F
388,AXB19b/PgnJ,F
389,BXD20/TyJ,F
390,CXB4/ByJ,M
394,SEA/GnJ,F
402,BXD29/TyJ,M
405,BXD1/TyJ,F
406,BXD1/TyJ,F
407,BXD1/TyJ,F
409,C57BLKS/J,F
413,BXD40/TyJ,F
415,BXD40/TyJ,M
416,BXD40/TyJ,M
417,SEA/GnJ,M
418,SEA/GnJ,M
421,BXD18/TyJ,F
427,SJL/J,F
428,SJL/J,F
432,BXD40/TyJ,F
433,BXD40/TyJ,F
434,CXB2/ByJ,F
435,CXB2/ByJ,M
436,CXB2/ByJ,M
439,BTBR T<+> tf/J,M
440,NON/ShiLtJ,F
444,BXH4/TyJ,M
454,CXB11/HiAJ,M
456,BXD11/TyJ,F
457,BXD11/TyJ,F
461,LG/J,F
462,LG/J,F
463,LG/J,F
464,LG/J,F
465,BXD5/TyJ,F
466,BXD5/TyJ,F
467,BXD5/TyJ,F
468,BXD5/TyJ,M
469,BXD5/TyJ,M
470,BXD5/TyJ,F
471,BXD5/TyJ,F
472,BTBR T<+> tf/J,F
473,BTBR T<+> tf/J,F
474,BTBR T<+> tf/J,F
476,BXD20/TyJ,M
477,BXD20/TyJ,M
478,BXD20/TyJ,F
481,BXD20/TyJ,M
482,BXD20/TyJ,M
484,CXB7/ByJ,M
485,CXB7/ByJ,M
486,CXB7/ByJ,M
488,BTBR T<+> tf/J,F
489,BXD34/TyJ,M
491,BXD34/TyJ,M
492,BTBR T<+> tf/J,F
493,BTBR T<+> tf/J,M
502,AXB19/PgnJ,M
503,AXB19/PgnJ,M
504,BALB/cJ,F
505,BALB/cJ,F
506,BALB/cJ,F
508,BXD24/TyJ-Cep290<rd16>/J,F
509,BXD24/TyJ-Cep290<rd16>/J,F
512,CXB6/ByJ,M
534,BXA7/PgnJ,F
536,BXA7/PgnJ,F
538,BXA7/PgnJ,M
540,BXA4/PgnJ,F
541,BXA4/PgnJ,F
542,BXA4/PgnJ,F
543,BXA4/PgnJ,F
544,BXA4/PgnJ,M
545,BXA4/PgnJ,M
546,BXA4/PgnJ,M
547,BXA4/PgnJ,M
549,BXD14/TyJ,M
550,C3H/HeJ,F
551,C3H/HeJ,F
552,BXD40/TyJ,M
553,BXD40/TyJ,M
554,BXD40/TyJ,M
555,C58/J,M
556,BXD6/TyJ,F
557,BXD6/TyJ,F
560,BXD6/TyJ,M
564,BXD6/TyJ,F
565,BXD6/TyJ,M
567,AXB15/PgnJ,M
572,CBA/J,F
573,CBA/J,M
574,KK/HlJ,M
575,KK/HlJ,F
577,KK/HlJ,F
579,BXA7/PgnJ,M
580,BXA7/PgnJ,M
583,BXA7/PgnJ,F
585,BXA7/PgnJ,M
586,BXA7/PgnJ,M
587,BXA7/PgnJ,M
588,BXD19/TyJ,F
589,BXD19/TyJ,F
592,BXD32/TyJ,F
593,BXD32/TyJ,F
595,C57BL/6J,M
599,AXB15/PgnJ,M
600,AXB15/PgnJ,F
601,AXB15/PgnJ,F
603,AXB15/PgnJ,F
608,AXB19/PgnJ,M
610,BXD27/TyJ,F
611,BXD27/TyJ,F
612,BXD36/TyJ,M
613,BXD36/TyJ,F
